PlaceName,Latitude,Longitude
"#783/3. 229/4, Mahajana Layout Abhishek Road Hebbal ( Near Vijaya Nagar 2nd Stage Water Tank), Mysuru (Mysore) 570017 India",12.3390979,76.6143013
"38/139 Ramavilas Road, Near Jagan Mohan Palace Subbarayanakere, Chamrajpura, Ashoka Road, Mysuru (Mysore) 570004 India",12.3056285,76.6475189
"#146/1 Ashoka Road Opp. St.Philomenas Church, Mysuru (Mysore) 570001 India",12.3210417,76.65826349999999
"Agani Village, Hanbal Post, Sakaleshpura, Sakleshpur India",13.0046838,75.6969615
"#849 N26/2 Zoo Road Nazarbad Ittige Gudu, Mysuru (Mysore) 570010 India",12.3016953,76.6641623
"106/1, Nanjangud Road, Mysuru (Mysore) 570004 India",12.2540599,76.6589973
"2720 Sri Harsha Road, Mysuru (Mysore) 570001 India",12.3086648,76.6583437
Sakleshpur 573134 India,12.9441511,75.78656529999999
"No.1979 Kothwal Ramaiah Street Near Rajkamal Theatre, Next to Sridevi Restaurant, Off Dhanvantri Road, Mysuru (Mysore) 570001 India",12.3115134,76.6478695
"2927/7, Irvin Road beside KSRTC Suburban Bus Stand, Mysuru (Mysore) 570001 India",12.313483,76.6582924
"Kodlipet Road Varshini Estate, Sakleshpur 573134 India",12.8741482,75.76445319999999
"view point, Mankanalli Bisle Kooduraste, Sakleshpur 573123 India",12.9441511,75.78656529999999
"Achhanahalli Bilisare Village, Sakleshpur 573165 India",12.9763916,75.6594339
"Belur Road Lakkunda Basaveshwara Coffee Estate, Sakleshpur 573215 India",13.1177911,76.003284
"Bangalore-Mangalore Road, Sakleshpur 573134 India",12.9432588,75.7836087
"Athibeedu, Devaldakere Post, Sakleshpur 577119 India",12.9441511,75.78656529999999
"Nelson Mandela Road Opposite to Highway Circle, Mysuru (Mysore) 570015 India",12.33217,76.6510321
"Devaladakere, Hanbal, Sakleshpur 573119 India",13.0046838,75.6969615
"Byagadahalli Kudraste, Kudrasthe, Sakleshpur 573123 India",12.7375902,75.7584351
Sakleshpur 573165 India,12.9441511,75.78656529999999
"Brindhavan Estate, Kyanahalli Main Road, Arekere Arekere, Sakleshpur 573134 India",12.8863288,75.766567
"Yermalbada Fisheries Road Yermal Bada, Udupi 574119 India",13.3408807,74.7421427
"Prasad Estate Haside Village, Halasulige Post, Sakleshpur 573127 India",12.9441511,75.78656529999999
"B.M. Road # 3 Prabhu Complex, Kushalnagar 571234 India",12.4571174,75.9596564
"Mysore-Madikeri Road Opp. Cauvery Nisargadhama, Guddehosur Post, Kushalnagar 571234 India",12.3398426,76.171775
"Bollur Village Guddehosur Post, Kushalnagar 571234 India",12.4525127,75.9241195
"Survey No 66, Chimmecool Road Agni Village Hanbal, Hobli, Sakleshpur 573134 India",12.9441511,75.78656529999999
"Jinnapura Estate Kaganoor Village, Alur Taluk, Sakleshpur 573123 India",12.8428934,75.8853465
"Girgur road Near Golden Temple, Kushalnagar 571324 India",12.4430867,75.9727458
"Bugadahalli Village, Sakleshpur 573134 India",12.9441511,75.78656529999999
"Near Madikeri, Kushalnagar 571254 India",12.4555177,75.9570234
"Maharanapratap Road, Mysuru (Mysore) 570010 India",12.2892073,76.6743649
"Behind K.S.R.T.C. Bus Stand Shambhavi Fortune, Udupi 576101 India",13.3410096,74.7472785
Kushalnagar 571234 India,12.4555177,75.9570234
"Kinnimulki Main Road Near Govinda Kalyana Mantapa, Udupi 576101 India",13.3297564,74.7441532
"Kundapur Taluk Near Mangalore, Udupi 576214 India",13.3408807,74.7421427
"2203 60 New Sayyaji Rao Road Nelson Mandela Circle, Mysuru (Mysore) 570021 India",12.330364,76.64518
"6/2, Thanisandra Main Road, Bengaluru 560064 India",13.0845982,77.64275760000001
"56 Electronic City Phase - 1 D Opposite Wipro Gate No. 5, Bengaluru 560100 India",12.8392482,77.6593915
"Devaladakere Post Hanbal, Sakleshpur 573165 India",13.0046838,75.6969615
"2932/B, Off Bangalore - Nigiri Road Behind Kalyan Jewels, Mysuru (Mysore) 570001 India",12.3160625,76.659089
"Virupapur Gaddi, Hampi 583234 India",15.3408783,76.45308930000002
"Ramagondana Halli, Varthur Road, WhiteField, Bengaluru 560066 India",12.9569464,77.7409438
"28th KM, Mysore Road, Bengaluru 562109 India",12.8103947,77.4025887
"No 3 Nazarabad Main Road, Mysuru (Mysore) 570010 India",12.3093743,76.6623461
"Plot No, 23, EPIP Zone Whitefield Rd, Bengaluru 560066 India",12.9721622,77.7177999
"#268, Lakshivilas Road Jaganmohan Palace Circle, Mysuru (Mysore) 570001 India",12.3068751,76.6498627
"Lalitha Mahal Road, Mysuru (Mysore) 570028 India",12.298914,76.6922946
"14/7 Mahatma Gandhi Road, Bengaluru 560042 India",12.9748319,77.61060800000001
"Hampi Bazaar Street, Hampi 583239 India",15.3347446,76.4621458
"Mangalore - Mysore Highway Opposite Government Polytechnic College, Kushalnagar 571234 India",12.4470416,75.8149486
"Reservoir Road Near Sanapur Lake, Hampi 583234 India",15.3569246,76.4349201
"Janatha Plot, Hampi 08394 India",15.3350132,76.46002399999999
"Falnir Road, Mangalore, Mangalore 575001 India",12.8679782,74.8505627
"Beside Shagil Watch Company, Near Yenepoya Hospital Derlakatte, Mangalore 575022 India",12.8122283,74.88053359999999
"Kumarakrupa Rd Opposite Golf Club, Bengaluru 560001 India",12.9890903,77.5813203
"Navabharath Circle, Mangalore 575003 India",12.8746895,74.8400869
"Navabharath Circle, Mangalore 575003 India",12.8746895,74.8400869
"Telecom House Road Behind Hotel mayura, Mangalore 575001 India",12.8595223,74.841411
"1 - 262/2 - 16 Sabarabail Mudushedde Vamanajoor, Mangalore 575028 India",12.9326206,74.8966859
"3 Km From Hampi Bazaar Street, Hampi 583239 India",15.3347446,76.4621458
"K.S. Rao Road Karunadham, Mangalore 575001 India",12.8696382,74.842169
